video_id,title,published_at,thumbnail_url,members
"DlUc5_vkkhQ","Completely Blind Playthrough! - Part 1✨【Hollow Knight: Silksong】","2025-09-04T22:35:36Z","https://i.ytimg.com/vi/DlUc5_vkkhQ/maxresdefault.jpg","false"
"DmxxHmmxstU","Let the Ratchet & Clank Adventure being!【Ratchet & Clank - 2002】The PlayStation 2 era is back!!","2026-05-30T21:28:52Z","https://i.ytimg.com/vi/DmxxHmmxstU/maxresdefault.jpg","false"
"E2vmA8bgBNg","The Hawaii incident","2026-06-01T12:00:01Z","https://i.ytimg.com/vi/E2vmA8bgBNg/maxresdefault.jpg","false"
"EB5LMErFGEs","Pokopia Cuteness~ Recruiting all the Pokémon!✨【Pokémon Pokopia】","2026-03-15T22:27:03Z","https://i.ytimg.com/vi/EB5LMErFGEs/maxresdefault.jpg","false"
"ECUWYib2Exk","Absolutely LOVING this game!【Core Keeper】First time playing!✨","2026-03-26T23:38:55Z","https://i.ytimg.com/vi/ECUWYib2Exk/maxresdefault.jpg","false"
"EDJ0ZJgTeEU","Opening the CUTEST Cards Ever!✨How many Cute Girls can we get?!【Handcam】& Cozy Knitting🧶","2026-02-23T21:38:58Z","https://i.ytimg.com/vi/EDJ0ZJgTeEU/maxresdefault.jpg","false"
"EI1HD7qewi8","Duck Stream!🦆 What Will I Do Today~?","2025-10-11T19:49:43Z","https://i.ytimg.com/vi/EI1HD7qewi8/maxresdefault.jpg","false"
"ERLc_Fk5IyA","Talking about everything that happened the last two days!✨","2026-08-19T00:22:30Z","https://i.ytimg.com/vi/ERLc_Fk5IyA/maxresdefault_live.jpg","false"
"ETBq2wm6Diw","【NEW OUTFIT REVEAL】New Clothes! New hairstyle?!✨And exciting surprises!!🦆","2026-01-31T19:47:29Z","https://i.ytimg.com/vi/ETBq2wm6Diw/maxresdefault.jpg","false"
"EgZ7W_meQfo","Digimon Booster Box Opening✨ Let's get some Cool Cards!!【Handcam】& Cozy Knitting🧶","2026-02-16T22:02:29Z","https://i.ytimg.com/vi/EgZ7W_meQfo/maxresdefault.jpg","false"
"EhrijGWAW7s","Let's React to the Xbox Developer Direct!【WATCHALONG】w/Fable 4 & Beast of Reincarnation news!","2026-01-22T19:59:04Z","https://i.ytimg.com/vi/EhrijGWAW7s/maxresdefault.jpg","false"
"Ep-PTdDzJ8I","Leave me alone sir!!","2025-09-17T10:00:26Z","https://i.ytimg.com/vi/Ep-PTdDzJ8I/maxresdefault.jpg","false"
"EyyQQpZLJv8","Farming time!✨🌽Life at the Farm is Hard...😱 【Minecraft - VSMP 2: Farm Life】","2026-02-13T22:48:45Z","https://i.ytimg.com/vi/EyyQQpZLJv8/maxresdefault.jpg","false"
"EzIvN4BgcuQ","I bought 400 Magic the Gathering singles!! Let's unbox them✨【Handcam】& cozy knitting!🧶","2026-04-28T20:51:56Z","https://i.ytimg.com/vi/EzIvN4BgcuQ/maxresdefault.jpg","false"
"FNood9TGD5c","New Gorgeous Souls Game!✨Can I Beat The Bosses?!【Wuchang: Fallen Feathers】 Blind Playthrough","2025-08-13T22:01:31Z","https://i.ytimg.com/vi/FNood9TGD5c/maxresdefault.jpg","false"
"FQvdqI1uaOI","Cozy Co-Working w/Kamos!💛🦆【Member's Stream】","2025-10-20T02:02:50Z","https://i.ytimg.com/vi/FQvdqI1uaOI/maxresdefault.jpg","true"
"FVCP_QmsS10","Super Mario Galaxy is REALLY hard ok!?!😭😆","2026-07-30T14:30:20Z","https://i.ytimg.com/vi/FVCP_QmsS10/maxresdefault.jpg","false"
"Fg3tJcy2M30","Schedule & Free Chat💛🦆","2025-09-09T10:38:31Z","https://i.ytimg.com/vi/Fg3tJcy2M30/maxresdefault_live.jpg","false"
"FpkEGMnRQhU","Let me Clean for you😘💓【Crime Scene Cleaner】","2026-06-28T20:43:45Z","https://i.ytimg.com/vi/FpkEGMnRQhU/maxresdefault.jpg","false"
"FqU_Hf2A9Xc","First Time Playing!✨Trying to Beat the Game in One Week! 【Satisfactory】","2025-11-27T22:15:35Z","https://i.ytimg.com/vi/FqU_Hf2A9Xc/maxresdefault.jpg","false"
